,eu,tu,ele/ela,você,nós,eles/elas,vocês
ter,tenho,tens,tem,tem,temos,têm,têm
ser,sou,és,é,é,somos,são,são
falar,falo,falas,fala,fala,falamos,falam,falam
cozinhar,cozinho,cozinhas,cozinha,cozinha,cozinhamos,cozinham,cozinham
cortar,corto,cortas,corta,corta,cortamos,cortam,cortam
amar,amo,amas,ama,ama,amamos,amam,amam
beber,bebo,bebes,bebe,bebe,bebemos,bebem,bebem
comer,como,comes,come,come,comemos,comem,comem
escrever,escrevo,escreves,escreve,escreve,escrevemos,escrevem,escrevem
ler,leio,lês,lê,lê,lemos,leem,leem
